age,height,weight,gender,likeness
29,179,78,Male,Pakora
35,164,72,Male,Biryani
46,164.6,75,Male,Samosa
32,59,10.92,Male,Biryani
27,164.5,57,Female,Samosa
25,150.5,90,Male,Biryani
29,167.64,65,Female,Pakora
37,179.832,68,Male,Biryani
32,170.5,74,Male,Biryani
20,170.6,52,Male,Biryani
32,157.48,51,Female,Biryani
28,181,76,Male,Pakora
27,170,82,Male,Samosa
30,170.5,75,Male,Biryani
31,189,86,Male,Pakora
27,178,80,Male,Pakora
27,6,51,Male,Samosa
29,180,78,Male,Biryani
20,176,54,Male,Pakora
31,179.5,85,Male,Biryani
27,167.5,58,Female,Biryani
68,71,68,Male,Pakora
40,173.7,97,Male,Pakora
24,167.64,66,Male,Biryani
25,150.5,47,Female,Biryani
24,179,65,Male,Biryani
26,161.3,60,Male,Samosa
30,166,90,Male,Biryani
31,148,40,Female,Biryani
36,167.5,62,Male,Biryani
30,170,65,Male,Biryani
19,167.64,55.2,Male,Biryani
23,176,71,Male,Samosa
25,170.68,55,Male,Biryani
27,167,54,Male,Pakora
28,173,161,Male,Samosa
39,155.448,102,Male,Biryani
43,182.8,85,Male,Samosa
25,170.688,59,Male,Biryani
28,191.5,83,Male,Biryani
28,162.56,46,Female,Biryani
20,14.4,53,Female,Biryani
23,173.736,62,Female,Biryani
25,168,55,Male,Biryani
26,174.1,76,Male,Samosa
31,164.6,68,Male,Samosa
32,167.64,57,Male,Biryani
21,180.33,81,Male,Biryani
31,182.5,80,Male,Biryani
28,5.7,68,Male,Biryani
28,5.4,63.4,Male,Samosa
27,177.8,67,Male,Biryani
24,152.4,50,Female,Biryani
19,15.2,50.4,Male,Biryani
34,133.7,58,Male,Biryani
22,181,67,Male,Biryani
27,152.4,75,Male,Biryani
31,179.5,86,Male,Pakora
33,169,86,Male,Biryani
33,158.5,46.7,Female,Biryani
21,165.1,45,Female,Biryani
29,154.5,6,Female,Biryani
21,166,62,Male,Biryani
26,188,90,Male,Biryani
27,186,101,Male,Biryani
42,70,179,Male,Biryani
25,1.85,88,Male,Biryani
29,179,73,Male,Samosa
21,1.7,50,Male,Samosa
44,172,78,Male,Biryani
28,177.8,84,Male,Biryani
30,180,67,Male,Biryani
40,165,71,Male,Pakora
28,173,96,Male,Biryani
26,5.11,70,Male,Biryani
30,178,88,Male,Samosa
29,182,84,Male,Biryani
26,164.59,90,Male,Biryani
50,188,88,Male,Biryani
35,179.8,75,Male,Pakora
31,179.5,86,Male,Samosa
24,175,82,Male,Biryani
21,5.7,68,Male,Biryani
39,157,53,Male,Pakora
30,170.18,73.8,Male,Pakora
32,570,80,Male,Biryani
29,165,74,Male,Biryani
27,5.7,80,Male,Biryani
31,166,54,Female,Biryani
27,145.5,62,Male,Biryani
25,164,64,Male,Samosa
34,175,82,Male,Pakora
40,5,80,Male,Biryani
34,175.5,79,Male,Samosa
20,5.1,40,Female,Biryani
32,173,74,Male,Biryani
34,176.5,98,Male,Biryani
31,172,86,Male,Biryani
24,173.7,57,Male,Biryani
28,5.1,65,Female,Samosa
30,173.73,75,Female,Biryani
28,165,56,Female,Biryani
20,173,78,Male,Pakora
27,170,88,Male,Samosa
28,5.3,62,Female,Biryani
24,173.5,75,Male,Biryani
27,169,85,Male,Biryani
37,175.5,80,Male,Samosa
28,174,74,Male,Biryani
24,170.77,45,Female,Pakora
33,170,74,Male,Biryani
29,182.88,88.2,Male,Samosa
28,178,77,Male,Biryani
26,162,60,Female,Biryani
23,5.4,68,Male,Pakora
30,172,78,Male,Biryani
43,178,85,Male,Biryani
26,13.408,62,Female,Biryani
25,165,70,Male,Samosa
21,167.4,60,Male,Biryani
26,5.5,74,Male,Biryani
20,50,48,Female,Biryani
22,5.8,53,Male,Biryani
22,171,64,Male,Samosa
20,140,26,Female,Biryani
27,164.5,59,Female,Biryani
27,179.8,96,Male,Biryani
35,176,64,Male,Samosa
27,5.9,68,Male,Biryani
38,163.5,72.2,Male,Pakora
25,166,66,Male,Biryani
36,6,68,Male,Pakora
20,155,48,Male,Biryani
30,5.3,50,Female,Biryani
24,114,60,Male,Biryani
22,6,50,Male,Samosa
27,165,63,Male,Biryani
31,160,60,Male,Pakora
26,172,70,Male,Biryani
40,178,80,Male,Biryani
25,5.7,65,Male,Biryani
33,157,56,Female,Samosa
